Question,Answer,Cerita
Siapa yang hidup sebagai keluarga di desa Namo Bintang?,"Ayah, ibu, dan anak laki-laki",Batu Merdang
Siapa yang menjadi raja dalam cerita ini?,Anak laki-laki dari keluarga sederhana,Batu Merdang
Siapa yang memerintah ajudan untuk mengantar makanan ke rumah?,Raja,Batu Merdang
Siapa yang mengutuk semua orang di ladang menjadi batu?,Ibu raja,Batu Merdang
Kapan cerita ini terjadi?,Pada tahun 1800-an,Batu Merdang
Kapan raja bersama istri dan masyarakat desa pergi ke ladang?,Pada suatu hari di pagi hari,Batu Merdang
Kapan acara makan siang dimulai di ladang?,Setelah kerja pagi selesai di ladang,Batu Merdang
Kapan ibu raja menerima bungkusan makanan dari ajudan?,Siang hari setelah acara makan siang dimulai,Batu Merdang
Di mana keluarga sederhana ini tinggal?,Di desa Namo Bintang,Batu Merdang
Di mana raja dan masyarakat desa menanam padi?,Di ladang desa Namo Bintang,Batu Merdang
Di mana ibu raja menunggu makanan di rumah?,Di rumah keluarga sederhana di desa Namo Bintang,Batu Merdang
Di mana ajudan memakan makanan yang seharusnya untuk ibu raja?,Di bawah pohon besar dalam perjalanan ke rumah ibu raja,Batu Merdang
Di mana raja dan masyarakat berubah menjadi batu?,Di ladang desa Namo Bintang,Batu Merdang
Siapa yang tinggal di Desa Durin Tani?,"Ayah, Ibu, dan menantu mereka",Batu Umang
Siapa yang meminta ayah untuk memancing ikan?,Sang Ibu,Batu Umang
Siapa yang memberikan padi kepada ayah saat memancing?,Dua anak kecil,Batu Umang
Siapa yang melanggar aturan untuk tidak pergi ke ladang?,Menantu si bapak,Batu Umang
Kapan keluarga si bapak mendapatkan emas dari padi yang dilempar?,Setelah si bapak kembali dari memancing dan melempar padi ke belakang rumah,Batu Umang
Kapan si bapak bermimpi bertemu makhluk halus untuk pertama kali?,Setelah mereka mendapatkan emas dari padi,Batu Umang
Kapan ladang kembali menjadi hutan?,Setelah aturan makhluk halus dilanggar,Batu Umang
Kapan batu besar ditemukan di ladang si bapak?,Tahun 1790,Batu Umang
Di mana keluarga si bapak tinggal?,Desa Durin Tani,Batu Umang
Di mana ayah memancing ikan?,Sungai dekat desa,Batu Umang
Di mana ayah pertama kali memancing di sungai?,Batu Tenun,Batu Umang
Di mana ladang keluarga si bapak berada?,Tidak jauh dari desa mereka,Batu Umang
Siapa yang membuat nasi dan gulai untuk nenek si Tungkir?,Ibu Tungkir,Lau Kawar
Siapa yang membawa nasi dan gulai ke nenek si Tungkir?,Tungkir,Lau Kawar
Siapa yang meminta bantuan sanak famili untuk bekerja di ladang?,Pak Tungkir,Lau Kawar
Siapa yang memohon kepada beru Dayang Perinterinte sebelum mulai bekerja?,Ibu Tungkir,Lau Kawar
Kapan masyarakat desa mulai bekerja di ladang?,Pada pagi hari,Lau Kawar
Kapan musim tanam dimulai di desa?,Saat musim hujan tiba,Lau Kawar
Di mana desa dalam cerita ini berada?,Di kaki Gunung Sabung,Lau Kawar
Di mana masyarakat desa biasanya bekerja?,Di ladang,Lau Kawar
Di mana nenek si Tungkir tinggal?,Di rumah ngian krin,Lau Kawar
Di mana nasi dan gulai untuk nenek si Tungkir disiapkan?,Di ladang Pak Tungkir,Lau Kawar
Siapa nama guru sakti yang berasal dari Karo?,Guru Diden,Guru Diden
Siapa yang datang dari negeri Pakpak untuk menguji kesaktian Guru Diden?,Guru Pakpak Pitu Sedalenan,Guru Diden
Kapan Guru Pakpak Pitu Sedalenan tiba di tanah Karo?,Setelah perjalanan berhari-hari dari negeri Pakpak,Guru Diden
Kapan hujan deras turun saat Guru Pakpak Pitu Sedalenan menginap di rumah Guru Diden?,Saat malam,Guru Diden
Di mana Guru Diden tinggal?,"Di desa Raja Tengah, tanah Karo",Guru Diden
Di mana Guru Pakpak Pitu Sedalenan mendapatkan kabar tentang kesaktian Guru Diden?,Di negeri Pakpak,Guru Diden
Siapa yang dikenal sebagai guru sakti di kampung Kandibata?,Guru Kandibata,Guru Petawer Rame
Di mana Guru Kandibata berangkat untuk membantu mengobati wabah cacar?,Ke tanah Alas,Guru Petawer Rame
Siapa yang mengutus Guru Kandibata untuk membantu mengobati wabah cacar?,Raja Alas,Guru Petawer Rame
Di mana roh dua anak Guru Kandibata ditemukan?,Di Gunung Sibayak,Guru Petawer Rame
Siapa yang mendengar tangisan roh dua anak Guru Kandibata?,Nini Deleng,Guru Petawer Rame
Di mana dua anak Guru Kandibata dimakamkan?,Di kampung Kandibata,Guru Petawer Rame
Siapa yang merasa kecewa dengan tindakan orang tua mereka?,Dua anak Guru Kandibata,Guru Petawer Rame
Siapa yang ingin mencari ibu baru dalam cerita ini?,Anak kucing hitam,Kucing Mbiring
Siapa yang pertama kali dimintai untuk jadi ibu?,Matahari,Kucing Mbiring
Siapa yang ditemukan setelah angin?,Gunung,Kucing Mbiring
Siapa yang terakhir diminta untuk menjadi ibu?,Tikus,Kucing Mbiring
Siapa yang ditelan oleh Batu Renggang?,Ibu dua kakak beradik,Batu Renggang
Siapa yang membantu dua kakak beradik di hutan?,Anoah Sakti,Batu Renggang
Siapa yang lebih disayangi oleh ayah dibanding anak-anaknya?,Ibu tiri,Batu Renggang
Kapan dua anak memutuskan pergi ke hutan?,Setelah dipukul oleh ayah mereka,Batu Renggang
Di mana ibu dua kakak beradik ditelan Batu Renggang?,Di tepi sungai,Batu Renggang
Di mana dua kakak beradik bertemu Anoah Sakti?,Di tengah hutan belantara,Batu Renggang
Di mana ayah mulai menyesali perbuatannya?,Di tengah hutan,Batu Renggang
Siapa yang menemukan bunga indah di kebun?,Nenek tua,Tangkau Bunga
Siapa yang akhirnya membantu nenek menemukan bunga?,Kucing,Tangkau Bunga
Kapan nenek menemukan bunga yang sangat indah?,Saat sedang bekerja di kebun,Tangkau Bunga
Kapan nenek berhasil mendapatkan bunga kembali?,Setelah kucing membantu menyelesaikan masalah,Tangkau Bunga
Di mana nenek tinggal setelah meninggalkan desa?,di sebuah gubuk,Tangkau Bunga
Di mana nenek berbicara kepada kucing tentang masalahnya?,Di dalam gubuk,Tangkau Bunga
Siapa nama pemuda yang tinggal di hutan belantara?,Sugih,Sidah Ginting
Siapa yang memberikan guci kepada Sugih?,Guru Banua,Sidah Ginting
Kapan Sugih merasa bahagia saat berada di hutan?,Ketika pagi hari,Sidah Ginting
Di mana Sugih bertemu dengan putri jelita?,di hutan belantara,Sidah Ginting
Di mana Sugih dan istrinya membangun rumah tangga?,Di tempat yang subur,Sidah Ginting
Di mana Tiga Bembem atau Tiga Suka Rame berada?,Di Desa Singa Manik,Sidah Ginting
Siapa yang dianggap membawa sial sejak lahir?,Pawang Ternalem,Pawang Ternalem
Siapa guru yang membantu Pawang Ternalem?,Datuk Rubia Gande,Pawang Ternalem
Siapa putri yang diadakan sayembara untuk menyembuhkan sakitnya?,Beru Patimar,Pawang Ternalem
Siapa pemuda yang membantu Pawang Ternalem di Jenggi Mawar?,Dara,Pawang Ternalem
Di mana Pawang Ternalem tinggal setelah diusir dari kampungnya?,Di salah satu hutan di daerah Batang Serang,Pawang Ternalem
Di mana Datuk Rubia Gande mengangkat Pawang Ternalem sebagai murid?,Di rumah Datuk Rubia Gande,Pawang Ternalem
Di mana pohon tualang Simande Angin berada?,Di Jenggi Mawar,Pawang Ternalem
Kapan orang-orang percaya bahwa bayi itu membawa sial?,di hari yang dianggap sial,Pawang Ternalem
Siapa nama anak yatim piatu dalam cerita ini?,Si Jaka,Si Jinaka
Siapa yang membawa Si Jaka ke tempat judi?,Pamannya,Si Jinaka
Siapa yang mengikat Si Jaka ke pohon kayu?,Orang,Si Jinaka
Siapa yang ditipu oleh Si Jaka untuk menggantikan dirinya diikat di pohon?,Seorang pemburu,Si Jinaka
Di mana Si Jaka diikat oleh orang yang membawanya ke kampung?,Di sebuah pohon kayu,Si Jinaka
Di mana paman Si Jaka mengikat kudanya saat pergi berjudi?,Di ladang padi,Si Jinaka
Kapan Si Jaka bertemu dengan pemburu?,Saat dia diikat di pohon kayu,Si Jinaka
Siapa nama anak yatim piatu dalam cerita ini?,Beru Dayang,Beru Dayang
Siapa yang mendengar suara gaib tentang buah ajaib?,Sang Raja,Beru Dayang
Di mana Beru Dayang dimakamkan?,Di makam desa,Beru Dayang
Di mana ibu Beru Dayang mengakhiri hidupnya?,Di sungai di ujung desa,Beru Dayang
Di mana masyarakat tanah Karo menanam potongan buah ajaib?,Di tanah desa mereka,Beru Dayang
Kapan masyarakat tanah Karo panen tanaman padi untuk pertama kalinya?,Tiga bulan setelah tanaman ditanam,Beru Dayang
Kapan ibu Beru Dayang berubah menjadi ikan?,Setelah melompat ke sungai di ujung desa,Beru Dayang
Siapa yang memilih putri untuk Tuan Bagunda Raja?,Manuk Si Nanggar Dewa,Bagunda Raja
Siapa yang memberi nasihat agar Tuan Bagunda Raja meminta maaf kepada mertua?,Orang dukun,Bagunda Raja
Siapa yang membuka bakul dan menjelma menjadi setan?,Tuan Banua Koling,Bagunda Raja
Kapan Tuan Banua Koling membuka bakul dan boneka itu menjadi hantu?,Sebelum waktunya,Bagunda Raja
Kapan istri Tuan Banua Koling melahirkan anak perempuan?,Setelah Tuan Banua Koling berhasil mendapatkan gadis cantik,Bagunda Raja
Di mana Tuan Bagunda Raja tinggal setelah menikah dengan putri dari Raja Purba?,Di Khayangan,Bagunda Raja
Di mana Tuan Banua Koling membunuh enam anak matahari dan bulan?,Di dunia tengah,Bagunda Raja
Di mana tujuh anak Tuan Banua Koling dibesarkan?,Di tujuh penjuru mata angin,Bagunda Raja
Siapa yang dikenal baik hati dan ramah kepada masyarakat di Desa Barus Jahe?,Raja Barus Jahe,Beru Rangga Kuning
Siapa yang menjadi raja di desa Singkel?,Raja Singkel,Beru Rangga Kuning
Siapa yang menyelamatkan Naktaki dari pasung?,Beru Rengga Kuning,Beru Rangga Kuning
Siapa yang memberi nasihat kepada Naktaki untuk berhenti berjudi?,Ibu Naktaki,Beru Rangga Kuning
Kapan Naktaki mulai berjudi dan menghabiskan semua hartanya?,Setelah ayahnya meninggal,Beru Rangga Kuning
Kapan Naktaki bertemu Raja Singkel untuk berjudi?,Setelah berbulan-bulan,Beru Rangga Kuning
Di mana Naktaki dipasung oleh Raja Singkel?,"Di desa Singkel, Aceh",Beru Rangga Kuning
Di mana Beru Rengga Kuning menemui Raja Singkel untuk pertama kalinya?,Di desa Singkel,Beru Rangga Kuning
Di mana Naktaki dan Beru Rengga Kuning kembali setelah Naktaki diselamatkan?,Di kampung Barus Jahe,Beru Rangga Kuning
Dimana cerita tersebut terjadi?,Desa Namo Bintang,Batu Merdang
Dimana latar cerita tersebut?,Desa Namo Bintang,Batu Merdang
Apa kesalahan utama ajudan Raja?,Tidak jujur.,Batu Merdang
Apa pelajaran dari cerita ini?,Tanggung jawab.,Batu Merdang
Apa pekerjaan utama keluarga Raja sebelum menjadi raja?,Bertani.,Batu Merdang
Siapa yang membawa makanan ke rumah?,Ajudan.,Batu Merdang
Kapan acara makan bersama dilakukan?,Siang hari,Batu Merdang
